,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,company_profile_length,requirements_length,benefits_length
31,Software Applications Specialist,US,0,1,0,Full-time,Associate,Unspecified,Computer Software,Engineering,0,388.0,,569.0,289.0
32,Craftsman Associate,US,0,1,1,Full-time,Entry level,Unspecified,Construction,Other,0,1213.0,367.0,1337.0,324.0
33,Completion Engineer,US,0,1,1,Full-time,,Bachelor's Degree,Oil & Energy,Engineering,0,1681.0,893.0,488.0,
34,I Want To Work At Karmarama,GB,0,1,1,Full-time,,,Marketing and Advertising,,0,152.0,522.0,391.0,
35,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
36,Graduates: English Teacher Abroad ,US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,332.0,53.0,152.0,19.0
37,PROJECT MANAGER,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,0,2235.0,,,
38,Art Director,IN,0,1,1,Full-time,Mid-Senior level,,Computer Software,Design,0,1556.0,231.0,1015.0,451.0
39,Receptionist/Customer Service Technical Specialist ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,1837.0,684.0,860.0,
40,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
41,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,385.0,53.0,131.0,19.0
42,Jr. Developer,US,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0,390.0,,,
43,Customer Service Associate Receptionist ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,695.0,684.0,670.0,
44,Customer Service Team Lead ,US,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0,2633.0,684.0,875.0,
45,Inside Sales Professional-Omaha,US,0,1,0,Full-time,,,Building Materials,Sales,0,1299.0,706.0,914.0,234.0
46,Entry Level ,EG,0,0,0,Full-time,Entry level,Bachelor's Degree,Banking,,0,170.0,5578.0,186.0,
47,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,1380.0,684.0,693.0,
48,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
49,Customer Service Team Lead,US,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,1276.0,684.0,681.0,
50,"Food Production Manager @ PGI, a Food Production Company",US,0,1,0,Full-time,Entry level,High School or equivalent,Food & Beverages,Production,0,764.0,187.0,417.0,
51,Administrative/Front Desk ,US,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0,1022.0,684.0,1322.0,
52,Payroll Tax Specialist,US,0,1,0,Full-time,,,Information Technology and Services,,0,344.0,540.0,604.0,
53,Technical Project Manager,US,0,0,0,Full-time,Associate,Bachelor's Degree,Financial Services,Information Technology,0,1212.0,,588.0,85.0
54,Outside Sales Professional-St. Cloud,US,0,1,0,,,,,,0,648.0,706.0,804.0,797.0
55,Junior HR Marketing Manager,PL,0,1,1,,,,,,0,338.0,153.0,823.0,163.0
56,Outside Sales Professional-Oronoco,US,0,1,0,,,,,,0,648.0,706.0,804.0,797.0
57,Intensive Case Management Worker (Bilingual Essential),CA,0,1,1,,,Bachelor's Degree,Hospital & Health Care,,0,921.0,2520.0,2276.0,1235.0
58,Marketing Guru,US,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Marketing,0,908.0,421.0,243.0,371.0
59,Product Visual Designer,US,0,1,1,Full-time,Not Applicable,Unspecified,Information Technology and Services,Design,0,576.0,670.0,1152.0,308.0
60,Graduates: English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,247.0,53.0,160.0,19.0
61,Bulk Ingredient Unloader,US,0,1,1,Full-time,Entry level,High School or equivalent,Food Production,Supply Chain,0,1579.0,961.0,1077.0,389.0
62,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
63,Customer Services Associate - Mail and Document Preparation ,US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,1288.0,684.0,1080.0,
64,SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER,US,0,0,0,,,,,,0,1712.0,,764.0,
65,Digital Developer,NZ,0,1,1,Full-time,,Unspecified,Computer Software,Engineering,0,220.0,1094.0,1215.0,1609.0
66,AS3 / Flash Developer,GR,0,1,1,,,,,,0,236.0,555.0,35.0,59.0
67,Production Supervisor,US,0,0,0,Full-time,,,,,0,733.0,228.0,,
68,New Product Development Project Leader,US,0,0,0,Full-time,,,,,0,2611.0,228.0,,
69,Ruby Automation Engineer & Ruby on Rails Engineer - 2 roles,US,0,0,1,Contract,,,,Information Technology,0,254.0,,1470.0,
70,Tasting Adventures Presenter,GB,0,1,0,,,,,Marketing,0,513.0,234.0,569.0,86.0
71,Branch Associate,US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,627.0,665.0,527.0,445.0
72,Customer Service Associate - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,1221.0,684.0,714.0,
73,Specialist Obs/Gyn,AE,0,0,0,Full-time,,,"Health, Wellness and Fitness",,0,240.0,,79.0,55.0
74,Call Attendant - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Insurance,Administrative,0,1094.0,684.0,671.0,
75,Senior Full-Stack Engineer - Ruby on Rails (Technical Lead),DE,0,1,1,Full-time,Mid-Senior level,Master's Degree,E-Learning,Engineering,0,1865.0,651.0,998.0,533.0
76,Medical Coder,US,0,1,1,Full-time,Associate,High School or equivalent,Hospital & Health Care,Health Care Provider,0,2015.0,1632.0,106.0,16.0
77,Mid-Senior .NET or Xamarin Developer,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,2014.0,,459.0,358.0
78,200K + MANAGEMENT POSITION FOR EXPERIENCED MERCHANT CASH ADVANCE REPS,US,1,0,0,Full-time,Mid-Senior level,,Banking,Business Development,0,6082.0,335.0,,
79,Product Manager,NZ,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Product Management,0,1099.0,615.0,335.0,466.0
80,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
81,Customer Service Technical Specialist ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,1911.0,684.0,663.0,
82,Edinburgh Fragrance and Beauty Promotional Staff,GB,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,855.0,831.0,34.0,22.0
83,Mail Processing Associate - General Clerk 1 ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,1195.0,684.0,992.0,
84,Customer Service Associate,US,0,1,0,Part-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,1191.0,684.0,501.0,
85,Research Associate,US,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Financial Analyst,0,1812.0,1113.0,1120.0,493.0
86,Customer Service Team Lead,US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,0,1442.0,684.0,944.0,
87,Customer Service Associate - On Call ,US,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0,1469.0,684.0,811.0,
88,Sales and Partnerships Intern,GR,0,1,1,,,,,,0,2524.0,1824.0,,
89,English Teacher Abroad ,CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
90,Marketing Manager,US,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,1554.0,410.0,529.0,295.0
91,Recruitment Consultant,GB,0,1,0,Full-time,,,Staffing and Recruiting,Consulting,0,428.0,1475.0,342.0,311.0
92,WAH Customer Service Repersentative,US,1,0,0,Full-time,Entry level,High School or equivalent,Consumer Services,Human Resources,0,2079.0,,,
93,Administrative Assistant ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,891.0,684.0,721.0,
94,WF17 9LU Customer Service Apprenticeship under NAS 16-18 year olds only!,GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,724.0,831.0,92.0,16.0
95,Senior Marketing Manager,US,0,1,0,Full-time,Director,Master's Degree,Internet,Marketing,0,1547.0,541.0,652.0,13.0
96,Software Test Engineer [QA]: Cucumber / LAMP / Automation / Jenkins  / Web Testing / Financial Startup,GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,492.0,828.0,754.0,547.0
97,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,997.0,684.0,747.0,
98,IC&E Technician,US,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1,2257.0,1061.0,1143.0,764.0
99,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
100,CAD Operator,US,0,1,0,,,,,,0,692.0,,557.0,
101,English Teacher Abroad ,CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
102,Marketing Administrator,GB,1,1,0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0,511.0,55.0,127.0,118.0
103,Customer Service Associate - Part Time,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,1221.0,684.0,714.0,
104,Shipping Clerk,US,0,0,0,,,,,,0,395.0,,,
105,Manager of Support Services,US,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,4695.0,966.0,,
106,Gatwick Customer Service Apprenticeship 16-18 Year Olds Only,GB,0,1,1,Full-time,Internship,High School or equivalent,,,0,602.0,831.0,24.0,16.0
107,Senior Developer at a Startup Investment Studio ,GB,0,1,0,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Information Technology,0,1700.0,679.0,1004.0,
108,Software Project Manager,US,0,0,1,Full-time,Mid-Senior level,,Computer Software,Project Management,0,2467.0,,,
109,Director of Client Engagement ,US,0,1,0,Full-time,Director,Bachelor's Degree,Management Consulting,Management,0,3222.0,684.0,409.0,
110,Customer Services Associate - Data Entry ,US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,1265.0,684.0,833.0,
111,Customer Service Associate - Part Time,US,0,1,0,Part-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,1245.0,684.0,716.0,
112,Customer Service Associate - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Insurance,Customer Service,0,1278.0,684.0,714.0,
113,Operations Manager,GB,0,1,0,Full-time,Mid-Senior level,,"Leisure, Travel & Tourism",Management,0,987.0,630.0,570.0,204.0
114,Regional Sales Director - West,US,1,1,0,,,,,Sales,0,555.0,2292.0,675.0,475.0
115,Birmingham Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,GB,0,1,1,,Not Applicable,High School or equivalent,Human Resources,Human Resources,0,578.0,831.0,70.0,17.0
116,Executive Assistant,US,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Administrative,0,1753.0,1211.0,686.0,192.0
117,Materials Manager,US,0,1,1,,,,,,0,397.0,693.0,80.0,52.0
118,"Member of Technical Staff, Backend",US,0,1,0,Full-time,Director,,Computer Software,,0,668.0,1320.0,548.0,207.0
119,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
120,Executive Administrative Assistant ,US,0,1,0,Full-time,Associate,High School or equivalent,Consumer Services,Administrative,0,2146.0,684.0,941.0,
121,Smart-Meter Expert,DE,0,1,1,Full-time,,,,,0,758.0,134.0,294.0,203.0
122,English Teacher Abroad ,CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
123,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
124,Customer Service Associate - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Education Management,Customer Service,0,1123.0,684.0,720.0,
125,Marketing Associate,US,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,634.0,755.0,389.0,149.0
126,Game & Feature Specialist,GR,0,1,0,Full-time,Mid-Senior level,,Internet,,0,817.0,1564.0,419.0,680.0
127,Pharmaceutical / Compound Sales Representative- Georgia,US,0,1,1,Full-time,Associate,Unspecified,Pharmaceuticals,Sales,0,859.0,1343.0,675.0,435.0
128,Precision Ag Intern Spring 2015 $2000 Per Month,US,0,1,1,Temporary,Internship,Some College Coursework Completed,Farming,,0,943.0,791.0,1281.0,39.0
129,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,1993.0,684.0,1355.0,
130,Customer Service Associate - Call Attendant ,US,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0,1092.0,684.0,530.0,
131,Milton Keynes Fragrance and Beauty Promotional Staff,GB,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,855.0,831.0,34.0,22.0
132,Senior Java Developer,GB,0,1,0,Full-time,Mid-Senior level,,Computer Software,Design,0,426.0,211.0,355.0,203.0
133,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
134,Senior Business Development Manager,GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0,1516.0,696.0,880.0,199.0
135,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
136,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,911.0,684.0,654.0,
137,Head of Marketing (option CMO),DE,0,1,1,,,,,,0,358.0,381.0,,
138,Customer Service Technical Specialist- Reprographics Specialist ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,1904.0,684.0,663.0,
139,Customer Service Associate,US,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,1219.0,684.0,714.0,
140,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,381.0,53.0,131.0,19.0
141,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0,1269.0,684.0,866.0,
142,BI Developer,IL,0,1,0,,,,,,0,808.0,335.0,266.0,
143,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,458.0,53.0,118.0,19.0
144,Forward Cap.,,0,0,0,,,,,,1,338.0,,,
145,.NET Web Developer,GR,0,1,0,Full-time,Associate,Unspecified,Computer Software,Other,0,1265.0,,84.0,61.0
146,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,911.0,684.0,654.0,
147,CNC Programmer,US,0,0,0,Full-time,,,,,0,875.0,228.0,,
148,UI/UX developer at StartTech Ventures,GR,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,,0,840.0,861.0,1321.0,260.0
149,Account Executive - Philadelphia,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2613.0,618.0,1435.0,786.0
150,Web Developer,US,0,1,0,Full-time,Associate,Unspecified,Marketing and Advertising,Information Technology,0,982.0,520.0,864.0,72.0
151,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
152,Digital Sales Manager - High End Decor,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Luxury Goods & Jewelry,Sales,0,3392.0,731.0,1735.0,65.0
153,Senior Project Manager,GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0,1320.0,510.0,714.0,382.0
154,Production Operator $16.50/hr,US,0,0,0,Contract,,High School or equivalent,Machinery,Production,0,1237.0,,554.0,
155,Customer Service Professional - Property Management Industry Exp.,US,0,0,0,Full-time,Associate,High School or equivalent,Real Estate,Customer Service,0,2556.0,,991.0,171.0
156,Choose Your Own Adventure,US,0,1,0,,,,,,0,48.0,377.0,,
157,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
158,Customer Support Professional ,US,1,0,1,Contract,,,,Customer Service,0,402.0,,1017.0,805.0
159,General Laborers,US,0,1,1,,,,,,0,854.0,260.0,120.0,
160,Field Services Supervisor,US,0,0,0,Full-time,Associate,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,0,1908.0,521.0,265.0,153.0
161,VP of Engineering ,US,0,0,1,Full-time,Director,Bachelor's Degree,,,0,1322.0,,447.0,
162,Account Manager (Fashion),AU,0,1,0,Full-time,Mid-Senior level,,Public Relations and Communications,Public Relations,0,1292.0,1231.0,278.0,
163,Customer Service Associate - Data Entry ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,1265.0,684.0,1023.0,
164,Marketing Executive ,EG,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Marketing,0,166.0,1018.0,300.0,86.0
165,Sales and Marketing Intern,GB,0,1,1,Full-time,Internship,Bachelor's Degree,Computer Software,Marketing,0,2685.0,407.0,1027.0,52.0
166,Exports Area Manager,GR,0,0,0,Full-time,Mid-Senior level,Master's Degree,Consumer Goods,Sales,0,650.0,,718.0,
167,Entry Level Sales,US,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0,2512.0,,,113.0
168,Marketing Sales Assistant,GR,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Administrative,0,1214.0,391.0,575.0,201.0
169,Customer Service Team Lead ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,947.0,684.0,942.0,
170,Micro-grid Systems Engineer,DE,0,1,1,Full-time,,,,,0,640.0,134.0,235.0,203.0
171,System Administrator,GB,0,1,0,Full-time,Associate,Vocational,Marketing and Advertising,Information Technology,0,1329.0,2434.0,1508.0,
172,Registrar's in Psychiatry,AU,0,1,0,Full-time,Associate,,Medical Practice,,0,101.0,2459.0,6356.0,36.0
173,Technician Instrument & Controls ,US,0,1,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1,4449.0,780.0,1075.0,261.0
174,Newcastle Fragrance and Beauty Promotional Staff ,US,0,1,1,Full-time,Associate,,Cosmetics,Sales,0,1020.0,831.0,31.0,21.0
175,Customer Service Associate - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,0,1191.0,684.0,712.0,
176,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,385.0,53.0,131.0,19.0
177,Underwriter,US,0,1,1,Other,Entry level,High School or equivalent,Financial Services,,0,1135.0,364.0,549.0,124.0
178,Director of Strategic Planning,US,0,1,1,Full-time,Director,Bachelor's Degree,Marketing and Advertising,Strategy/Planning,0,1080.0,592.0,1090.0,154.0
179,Internal Recruiter,GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Human Resources,0,69.0,80.0,72.0,103.0
180,Sales Executive,PK,0,0,0,,,,,Sales,1,15.0,,15.0,15.0
181,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
182,Facilities Engineer,US,0,1,1,Full-time,,,Oil & Energy,Engineering,0,1411.0,893.0,680.0,
183,"Manager of Patient Care-Women/Families/Baby (Near Oshkosh, WI)",US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,511.0,,245.0,81.0
184,Growth Wunderkind (paid internship),GB,0,1,0,,,,,,0,811.0,311.0,964.0,479.0
185,Reading Fragrance/Beauty Promotional Staff,GB,0,1,0,,,,Cosmetics,,0,855.0,831.0,45.0,
186,Receptionist ,US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Administrative,0,1843.0,684.0,860.0,
187,Medical Scribe (Testing),US,0,1,1,Part-time,Entry level,Some College Coursework Completed,Medical Practice,Other,0,358.0,112.0,640.0,
188,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
189,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
190,Entry Level Sales,US,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0,2512.0,,,113.0
191,Technical Co-Founder,US,0,0,0,,,,,,0,579.0,,773.0,592.0
192,"Manager, Network Engineering ",US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Information Technology,0,3224.0,,1813.0,41.0
193,Sales and Operations Associate,GR,0,0,1,Full-time,Entry level,,Hospitality,,0,1251.0,1536.0,828.0,
194,Marketing Manager,GB,0,1,0,,,,,,0,618.0,1421.0,,
195,Senior Rails Developer,GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,1690.0,874.0,318.0,477.0
196,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
197,Software developer,IN,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1259.0,1565.0,32.0,84.0
198,Junior Funding Specialist (Sales),GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Business Development,0,1777.0,696.0,654.0,247.0
199,Outside Sales Professional,US,0,1,0,,,,,,0,648.0,706.0,804.0,797.0
200,Media Planner,NZ,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,Advertising,0,1299.0,1593.0,597.0,199.0
201,JAVA Solution Architect ,BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1003.0,726.0,627.0,885.0
202,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
203,Front End Developer,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,474.0,,,
204,Junior Python Developer,,0,1,0,,,,,,0,1314.0,80.0,374.0,
205,RMA Coordinator,US,0,1,0,Full-time,Entry level,Bachelor's Degree,Consumer Electronics,Customer Service,0,1435.0,662.0,656.0,463.0
206,Baby Care Advisor,GB,0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Customer Service,0,2172.0,610.0,481.0,
207,Data Entry Clerk II ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,1183.0,684.0,975.0,
208,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
209,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,1225.0,684.0,714.0,
210,Customer Service Associate - Part Time,US,0,1,0,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,1209.0,684.0,687.0,
211,Engagement Executive,BR,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Information Technology,0,1212.0,2678.0,513.0,251.0
212,Customer Service Associate  ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,1383.0,684.0,709.0,
213,Customer Service Associate ,CA,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0,1301.0,684.0,755.0,
214,Recruiter/Recruiting Assistant ,US,0,0,0,,,,,,0,8025.0,,,
