,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,description_length,company_profile_length,requirements_length,benefits_length
102,661,27,0,1,1,4,0,9,39,31,2761,1030,844,504
103,1245,27,0,1,1,1,6,4,65,12,2842,923,2132,282
104,9739,85,0,0,0,1,3,3,76,20,3163,384,1077,735
105,285,85,0,1,0,1,5,1,22,31,1693,750,460,1060
106,7322,85,0,1,1,1,2,3,64,19,1645,393,1295,463
107,8866,60,0,1,1,1,0,1,32,12,650,983,1571,777
108,8712,85,0,1,0,1,5,1,22,31,2777,33,1176,428
109,1900,85,0,1,1,1,2,9,39,7,842,19,1576,804
110,9865,85,0,1,0,1,3,3,80,19,1642,325,1292,530
111,4080,85,0,1,0,0,3,1,31,14,2156,672,542,354
112,7105,85,0,0,0,1,2,4,51,14,2514,618,1178,364
113,8574,85,0,1,0,1,2,3,119,31,318,561,1167,540
114,8708,85,0,1,0,1,5,1,89,18,2440,851,7,153
115,2215,85,0,1,0,3,2,4,66,7,1454,806,510,586
116,2433,30,0,1,0,2,2,1,61,22,3075,654,1380,361
117,1473,85,0,0,0,1,5,1,51,16,1730,704,362,819
118,10499,85,0,1,0,1,2,2,61,15,1564,509,1377,600
119,10021,85,0,1,0,1,5,1,58,18,2143,813,382,735
120,11039,85,0,1,1,3,2,4,15,16,1224,858,1442,512
121,6043,29,0,1,1,1,4,1,61,22,3058,751,1499,530
122,8586,85,0,1,0,1,2,3,39,29,194,509,924,82
123,2258,85,1,1,0,1,2,4,107,7,2485,771,1823,617
124,494,85,0,1,1,3,0,1,31,11,563,836,1718,731
125,2356,27,0,1,1,1,2,4,26,7,521,417,1507,601
126,311,85,0,0,0,1,5,4,23,17,1,433,1746,1064
127,432,85,0,0,0,1,2,4,51,1,3242,711,1456,711
128,9081,85,0,1,1,1,5,1,61,25,24,851,1930,266
129,10314,27,0,0,0,1,6,9,74,2,2452,515,1693,732
130,6521,85,0,0,0,1,3,3,51,16,3172,387,753,653
131,2138,12,1,0,0,1,3,5,58,10,2483,471,1765,612
132,7136,85,0,0,0,1,3,1,58,18,2709,461,1679,601
133,7571,60,0,1,1,1,5,2,58,18,3303,621,1552,256
134,10908,68,1,1,1,1,3,2,56,13,2968,507,1850,525
135,6665,23,0,1,0,1,2,1,58,22,3236,144,220,558
136,4958,85,0,1,0,3,4,7,36,15,3231,177,1420,715
137,6463,85,0,1,1,3,2,4,119,7,212,836,1260,731
138,3800,27,0,1,0,1,5,9,22,12,3268,757,1955,713
139,8162,27,0,1,0,1,5,9,58,18,3099,525,1225,679
140,7480,85,0,1,0,1,4,1,58,19,1478,735,1478,656
141,8954,85,0,0,0,0,5,1,58,17,1325,432,1776,546
142,10386,85,0,1,0,1,0,3,39,17,2989,821,1342,485
143,3822,85,1,1,0,1,5,2,100,12,192,808,2148,583
144,7220,85,0,0,0,0,6,2,51,16,2319,418,2015,360
145,1717,85,0,0,0,1,3,1,58,18,2534,539,880,582
146,4663,85,0,0,0,1,4,1,58,17,3069,384,1234,547
147,3487,36,0,1,1,1,2,2,64,6,489,36,1630,461
148,4051,27,0,0,0,1,2,1,58,18,392,565,1432,776
149,310,85,0,1,0,1,0,3,22,7,636,739,1762,475
150,10534,85,0,1,1,1,5,2,88,23,2901,44,888,83
151,2606,29,1,1,0,1,5,2,18,15,1901,801,1126,179
152,741,85,0,0,1,2,3,5,43,12,1051,734,1186,653
153,6583,85,0,1,1,1,2,4,87,1,618,836,756,503
154,1286,27,0,1,0,1,4,3,4,13,435,668,748,536
155,5503,85,0,0,1,0,3,2,42,15,1139,337,250,652
156,3204,85,0,1,1,0,2,1,31,12,2407,672,334,354
157,5996,85,0,1,1,1,3,1,67,22,3016,314,2177,434
158,5999,85,1,1,1,1,0,7,30,22,1672,505,1145,1036
159,3206,85,0,1,1,0,2,1,31,11,2104,672,613,354
160,3205,85,0,1,1,0,2,1,31,12,2407,672,334,354
161,8514,85,0,0,0,1,0,9,39,31,1620,204,1770,772
162,4542,85,0,1,0,1,2,9,52,19,2051,1004,441,570
163,7050,27,0,1,1,3,2,4,112,15,3232,205,1300,465
164,2210,85,0,1,0,1,2,4,39,7,142,806,1877,642
165,310,74,0,1,0,1,5,1,61,23,3150,471,1791,611
166,7596,60,0,1,1,1,2,1,58,26,453,155,1935,390
167,7805,23,0,1,0,1,5,1,119,18,2434,12,782,1017
168,3204,85,0,1,1,0,2,1,31,12,2407,672,334,354
169,3809,85,0,1,1,1,5,1,22,12,3281,590,1730,563
170,963,85,0,1,1,0,3,3,43,15,3241,346,4,714
171,5788,20,0,1,0,1,3,3,58,22,1431,210,1392,674
172,8420,85,0,1,0,1,2,2,48,31,1721,735,1316,682
173,4838,85,0,1,0,1,2,2,11,31,331,826,2126,447
174,5409,29,0,1,1,1,6,3,75,22,3131,134,1994,551
175,4895,85,0,1,0,1,6,9,59,31,2995,890,1570,1078
176,4462,27,0,1,1,1,6,9,51,16,2506,818,121,1101
177,9057,85,0,1,0,1,0,2,33,29,2220,992,1936,585
178,6740,85,0,1,0,1,2,2,22,24,368,429,1536,1006
179,2921,85,0,1,0,1,6,1,65,20,2692,439,1343,618
180,730,27,0,1,0,4,4,4,46,13,102,389,322,710
181,2278,35,0,1,1,1,2,1,61,7,3303,654,1263,525
182,6418,85,0,0,0,1,3,1,52,17,972,439,110,618
183,10374,85,0,1,1,1,5,9,107,19,1192,133,2015,621
184,9461,29,0,1,0,1,4,4,119,18,3194,487,2034,598
185,2731,27,0,1,1,1,2,3,63,20,404,653,1718,579
186,5952,85,0,1,0,1,3,2,48,18,54,634,1798,647
187,8134,85,0,1,1,1,3,1,61,12,256,379,1527,909
188,8685,66,0,1,1,2,4,4,79,18,2432,194,1111,518
189,933,27,0,1,0,2,4,4,42,16,2989,923,1591,396
190,5929,85,0,0,0,1,3,2,44,16,98,384,447,580
191,3875,85,0,1,1,1,2,4,31,16,308,858,1668,504
192,9034,85,0,1,0,1,5,1,58,24,2854,794,416,361
193,7429,53,0,1,1,1,3,3,65,19,394,590,1457,569
194,1112,27,0,1,0,1,5,2,10,5,749,148,2049,420
195,6595,85,0,1,1,1,5,9,87,0,750,243,204,349
196,2594,85,0,0,1,1,5,1,22,23,2835,431,597,582
197,1115,85,0,1,1,1,0,9,75,31,870,287,2130,861
198,3773,36,0,1,1,1,0,2,61,14,1720,289,1786,873
199,1364,85,0,1,1,1,0,4,8,7,3120,790,1502,744
200,3572,27,0,1,0,3,1,5,112,0,460,538,169,88
201,9033,85,0,1,1,1,5,1,29,9,1218,389,59,713
202,9700,12,0,0,1,0,5,9,75,18,2687,450,1870,1074
203,1833,85,0,0,0,2,2,4,73,20,3215,651,1378,407
204,10894,85,1,1,1,0,0,3,22,12,660,140,702,616
205,2147,85,0,1,1,1,1,2,58,11,1241,962,1626,689
206,7389,34,0,1,1,1,6,1,22,8,510,126,1829,462
207,5763,27,0,1,0,2,3,3,40,16,3001,923,1601,358
208,6128,85,0,1,1,1,5,4,88,12,3265,516,1575,478
209,5560,85,0,1,0,1,3,1,61,22,733,752,80,476
210,10466,85,0,1,1,1,2,1,51,11,2883,514,1905,644
211,10576,66,0,1,1,1,5,6,29,9,264,194,1977,316
212,10632,85,0,1,1,1,2,4,122,7,2955,551,1625,354
213,8921,85,0,0,0,1,4,1,40,15,2357,528,1427,746
214,1384,85,0,1,0,0,6,1,112,18,3222,220,364,793
215,7499,85,0,1,1,1,0,2,88,19,133,969,1583,351
216,5544,85,0,0,0,2,3,6,62,18,2359,857,916,523
217,9728,85,0,1,0,1,5,1,22,13,2680,278,837,506
218,3859,85,0,1,1,1,0,1,88,17,1864,969,1731,609
219,7516,85,0,0,0,1,2,3,76,20,3002,384,725,688
220,5167,85,0,1,1,1,3,4,70,19,221,330,1316,491
221,7962,27,0,1,0,1,3,3,33,21,2231,389,2059,747
222,4338,27,0,1,1,1,3,2,60,18,1318,923,217,510
223,6468,85,0,1,1,1,3,4,75,20,3002,221,1386,543
224,8711,85,0,1,0,1,5,1,75,27,3045,780,897,542
225,10237,27,0,1,0,1,5,5,22,15,3009,590,1373,561
226,3740,85,0,0,0,1,2,3,3,1,2609,424,1757,574
227,2660,29,0,1,0,1,3,4,50,5,3232,860,1422,365
228,172,85,0,1,0,0,2,3,26,7,2889,115,1662,106
229,10696,27,0,0,0,1,6,9,6,31,536,372,2108,8
230,2824,85,0,1,0,1,6,1,22,20,217,683,639,164
231,9756,85,0,1,0,1,5,1,22,26,584,534,2016,656
232,464,85,0,0,1,1,2,4,0,0,864,581,1088,473
233,375,85,0,0,0,1,2,4,28,0,2864,365,1425,401
234,9495,63,0,0,0,1,3,2,61,16,2625,502,1609,724
235,9456,85,0,1,1,1,5,1,22,18,1538,991,1859,742
236,22,27,0,1,0,1,3,4,57,18,2982,411,1056,599
237,3206,85,0,1,1,0,1,1,31,11,2053,672,393,354
238,2258,85,0,1,0,1,2,4,26,7,3145,115,1272,296
239,1572,85,0,0,0,0,5,1,32,12,2428,579,1129,785
240,3708,85,0,1,1,1,5,9,49,7,3141,637,1591,153
241,10158,85,0,1,1,1,3,4,61,17,116,395,1280,540
242,10639,85,0,1,0,1,1,1,61,7,914,682,1852,598
243,7428,55,0,1,1,1,3,3,75,21,3200,590,1409,616
244,10718,85,1,1,1,1,3,1,61,12,3225,499,2148,338
245,8715,80,0,1,0,1,5,1,61,2,3138,148,2171,389
246,4081,85,0,1,1,0,2,1,31,11,1558,672,613,354
247,4284,85,0,1,1,1,1,1,55,16,1301,528,1446,673
248,9777,85,0,1,1,1,5,1,76,12,456,540,2055,633
249,6354,27,0,1,1,1,2,1,61,9,1073,924,379,445
250,8057,85,0,1,0,1,5,0,41,20,314,547,1371,170
251,10921,29,0,1,0,1,5,2,22,14,166,860,1232,480
252,10453,85,0,1,1,1,2,4,122,10,395,397,1367,568
253,2647,85,0,1,0,1,5,1,24,12,547,200,1833,614
254,6241,85,0,1,1,1,1,5,46,11,2343,16,1453,661
255,3204,85,0,1,1,0,2,1,31,12,2407,672,334,354
256,8379,27,0,1,0,1,0,1,39,31,467,817,1786,1167
257,1189,27,0,0,0,0,3,4,63,14,2116,338,697,328
258,8514,85,0,1,1,1,0,1,22,31,415,574,1664,609
259,6461,85,0,1,1,2,2,4,119,7,160,836,1152,731
260,4080,85,0,1,0,0,3,1,31,14,2156,672,542,354
261,3951,85,0,1,0,1,2,4,46,1,226,806,32,625
262,4081,85,0,1,1,0,2,1,31,11,1540,672,613,354
263,3723,32,0,1,0,1,0,0,61,12,185,517,2211,1073
264,10119,60,0,1,0,1,0,9,58,17,259,155,1858,1228
265,4896,85,0,1,0,1,2,4,45,1,3234,914,1758,664
266,2273,85,0,1,0,1,2,4,34,7,3175,115,2074,237
267,6171,85,0,1,1,1,1,6,51,16,570,680,493,121
268,10275,85,0,1,1,1,5,2,32,23,2587,881,83,487
269,10,85,0,0,0,1,5,1,75,2,2785,512,916,397
270,7255,60,0,1,0,1,0,1,58,18,30,155,1346,494
271,5817,85,0,1,0,1,2,4,26,7,216,806,2212,566
272,242,85,0,1,1,1,5,2,61,18,153,600,1629,509
273,35,85,0,1,1,1,0,4,26,7,536,888,1494,1136
274,10380,85,0,1,0,1,5,9,39,13,2685,821,1568,687
275,1075,85,0,0,0,1,4,3,36,13,867,477,761,565
276,1075,27,0,1,0,1,5,9,58,4,325,444,162,505
277,3205,85,0,1,1,0,2,1,31,12,2407,672,334,354
278,8941,7,0,1,0,1,5,1,22,18,3308,842,2170,1170
279,1456,85,0,1,1,3,2,4,51,16,3184,304,2176,499
280,1043,29,0,0,1,1,5,1,45,22,409,731,1718,242
281,1621,85,1,1,1,1,5,3,22,15,3252,342,1132,555
282,4081,85,0,1,1,0,2,1,31,11,2156,672,613,354
283,9743,58,0,1,0,1,5,1,75,9,268,160,1516,550
284,7980,85,0,1,0,3,5,0,51,16,2705,928,12,296
285,3118,85,0,1,0,0,4,2,54,16,2995,481,1928,601
286,759,27,0,0,0,1,2,4,58,5,3187,723,1321,560
287,3206,85,0,1,1,0,2,1,31,11,2616,672,198,354
288,3206,85,0,1,1,0,2,1,31,11,2616,672,198,354
289,7790,85,0,1,0,1,3,2,49,20,342,537,299,656
290,4721,85,0,1,0,1,2,3,58,18,160,914,987,538
291,10257,85,0,1,1,1,2,5,20,7,2977,683,1316,160
292,9709,55,0,1,0,1,0,0,9,15,2896,610,553,211
293,1741,85,0,1,0,1,3,3,36,13,1851,809,1280,732
294,8471,68,0,1,1,1,6,5,75,31,3123,549,46,1202
295,2981,85,0,1,0,1,2,4,22,7,503,806,255,706
296,6654,53,0,1,1,1,2,4,119,7,2754,493,916,256
297,2128,85,0,0,0,3,6,4,75,7,2512,478,1462,387
298,3354,85,0,1,1,4,0,9,39,1,2022,885,2202,526
299,3362,85,0,1,1,1,5,1,72,1,2656,980,2169,625
300,9792,85,0,1,0,1,5,1,56,22,773,750,1864,1199
301,3814,11,0,1,0,1,2,2,54,13,3236,542,168,616
302,7213,85,0,0,0,1,5,1,22,18,321,477,1369,648
303,9309,27,0,1,0,1,2,1,39,13,2991,817,1410,312
304,9495,85,0,1,0,1,5,1,30,12,2028,528,1301,618
305,1806,85,0,1,1,1,2,4,15,16,584,858,1574,869
306,6509,85,1,1,0,1,2,4,119,7,80,719,183,411
307,2689,34,0,1,0,4,3,3,1,22,1076,695,1669,595
308,7952,85,0,0,0,1,3,3,75,22,2958,384,820,716
309,3871,85,0,1,1,1,2,4,15,16,1146,858,1602,634
310,6058,85,0,1,1,1,2,4,67,20,143,580,1660,338
311,6059,85,1,0,0,1,2,1,25,31,18,466,2021,335
312,7150,27,0,1,1,1,3,2,51,22,490,477,73,731
313,8369,85,0,1,1,1,0,1,58,31,3064,882,1274,560
314,1937,29,0,0,1,1,6,1,75,22,2817,357,1729,1025
315,3724,27,0,1,1,1,0,9,67,18,154,213,1491,190
316,8829,60,0,1,1,1,6,1,61,18,2521,952,945,683
317,2280,85,0,1,0,3,2,4,37,7,1073,806,356,657
318,8783,27,0,1,1,1,5,2,75,26,2290,406,502,72
319,1032,85,0,1,0,1,2,9,75,22,1090,241,1334,497
320,565,7,0,0,1,1,5,9,58,18,6,514,60,601
321,10795,27,0,1,1,1,6,4,126,18,2869,923,1889,303
322,2463,85,0,1,1,1,5,5,61,12,315,752,380,476
323,6052,85,0,0,1,2,4,1,75,17,373,548,259,1064
324,1542,20,0,1,0,1,1,5,61,15,714,182,2082,698
325,2795,85,0,1,1,1,6,3,56,20,2254,695,467,431
326,2524,27,0,1,1,3,2,9,112,23,3121,205,1640,489
327,310,85,0,1,1,1,0,1,61,5,739,863,1665,331
328,9841,85,0,1,1,1,0,4,121,23,468,836,1603,731
329,3842,35,0,1,1,1,3,3,43,14,2741,642,1546,624
330,2640,85,0,1,1,2,3,5,54,12,1432,668,206,682
331,2484,20,0,1,1,1,3,4,45,12,3276,699,1980,493
332,6005,85,0,1,0,1,0,1,51,22,446,485,2019,934
333,1728,85,0,1,1,1,0,1,39,13,3198,790,1595,82
334,1185,29,0,0,1,1,5,1,45,12,934,565,826,204
335,7332,85,0,0,1,1,6,5,57,31,3122,647,2021,510
336,10225,85,0,1,1,1,6,5,61,18,2775,687,1458,688
337,6700,85,0,1,1,1,3,4,82,18,398,551,1487,490
338,3993,85,0,1,1,1,1,2,88,18,795,969,1507,488
339,5225,27,0,1,1,1,3,3,45,15,1088,525,1710,780
340,10895,20,0,1,1,0,4,4,48,13,3119,182,1963,785
341,4999,85,0,1,0,1,2,2,36,14,2448,143,689,653
342,11138,85,1,1,0,1,2,9,43,31,1710,424,959,1034
343,7988,85,0,0,0,1,5,1,64,19,2387,384,2206,767
344,4084,34,1,1,1,1,0,1,58,18,430,888,1266,355
345,3647,20,0,1,1,2,3,5,30,36,1748,777,1356,674
346,4081,85,0,1,1,0,2,1,31,11,2156,672,613,354
347,5327,27,0,1,0,1,4,4,33,15,142,246,1479,716
348,8902,27,0,1,0,1,5,3,61,12,3079,953,1677,380
349,3406,85,0,1,1,1,6,9,107,1,775,663,2166,543
350,7064,52,0,1,0,1,3,3,62,14,2940,590,1438,592
351,7688,85,0,1,0,1,2,2,22,12,1003,640,1202,573
352,6229,85,0,0,1,2,3,5,57,18,2733,853,55,425
353,3205,85,0,1,1,0,2,1,31,12,2407,672,334,354
354,5866,29,0,1,1,1,3,2,50,16,1698,484,80,799
355,2199,85,0,1,0,1,2,4,39,7,3166,806,1980,674
356,7604,85,0,1,0,0,2,1,123,26,2293,651,119,781
357,2757,27,1,1,0,1,2,5,59,22,1099,113,1151,628
358,9317,20,0,0,1,1,4,4,64,18,3074,416,322,573
359,4468,85,0,1,0,1,3,4,77,20,2964,954,1591,570
360,10064,85,0,1,0,1,2,1,75,26,2191,832,1098,599
361,9587,85,0,1,1,1,5,1,119,24,1811,680,717,434
362,421,70,0,1,0,1,3,3,62,8,2718,475,1805,526
363,9034,32,0,1,0,1,5,1,61,18,1126,517,1215,1081
364,7207,85,0,1,0,1,3,1,54,19,1714,735,1259,695
365,4851,85,0,1,1,1,2,4,61,31,708,278,1637,550
366,5812,29,0,1,1,1,2,1,61,23,2303,139,1563,594
367,5880,85,0,0,0,1,2,4,0,7,452,384,1251,581
368,2206,85,0,1,0,1,2,4,26,7,295,806,27,663
369,5065,29,0,1,1,1,4,1,66,19,2770,722,2176,394
370,4040,29,0,1,1,1,5,1,75,8,1252,43,1849,373
371,3694,27,0,1,1,1,3,3,56,8,2634,750,1884,574
372,9151,29,0,1,0,1,5,1,67,18,390,822,786,524
373,6827,85,0,1,0,1,2,2,11,31,355,826,2126,910
374,5412,27,0,1,0,1,2,9,22,18,2715,173,1186,483
375,4081,85,0,1,1,0,2,1,31,11,2104,672,613,354
376,4348,85,0,1,0,1,1,1,89,24,168,751,2019,1001
377,9729,85,0,0,0,0,5,9,47,18,663,588,1814,580
378,660,85,0,1,0,1,2,3,26,9,997,115,1346,255
379,757,85,0,1,0,1,2,0,58,31,3092,813,2192,987
380,5595,27,0,1,0,1,5,9,39,33,239,552,1968,487
381,5596,85,0,1,0,1,1,2,29,13,874,800,49,693
382,729,85,0,1,1,1,2,4,42,11,175,738,646,762
383,7482,85,0,1,1,1,2,3,63,20,33,600,9,323
384,10381,85,0,1,0,1,5,3,107,31,6,821,1280,593
385,6004,27,0,1,1,1,2,1,75,22,115,846,1191,184
386,10434,88,0,0,0,1,5,1,127,35,162,411,2188,903
387,1977,85,0,1,1,1,1,1,75,0,2300,379,1636,930
388,6281,29,1,0,1,1,4,6,22,18,3208,677,545,589
389,5533,73,1,1,0,2,5,3,48,18,1075,260,1499,701
390,8393,85,0,0,0,1,4,6,58,29,2983,709,939,255
391,3212,29,0,1,1,1,6,5,31,11,1614,449,1513,425
392,4913,85,0,1,0,1,0,1,58,9,2965,51,1673,74
393,6615,27,0,1,1,1,3,3,46,11,2494,796,1088,705
394,8984,27,0,1,1,1,5,1,61,22,1276,952,1779,503
395,9129,85,0,1,1,1,5,1,22,12,1899,836,1430,731
396,11140,85,1,1,0,1,2,9,43,31,1710,424,959,1034
397,1075,27,0,1,1,1,0,1,75,4,1632,846,1710,642
398,8456,85,0,1,1,1,0,9,51,31,1260,287,1310,407
399,1302,85,0,0,0,1,3,2,41,12,3153,384,1919,532
400,3754,29,0,1,1,1,2,9,22,18,2991,766,1667,650
401,6167,27,0,1,0,1,5,5,75,31,652,251,1959,596
402,9495,85,0,0,0,1,3,2,22,16,261,384,1057,785
403,7673,85,0,1,0,1,2,1,103,27,586,255,881,144
404,300,85,0,1,1,1,5,4,107,23,1046,133,1830,454
405,8,85,0,0,0,0,4,2,54,12,1590,413,1088,730
406,5076,57,0,1,0,1,2,3,55,19,2128,590,1387,603
407,1329,29,0,0,1,1,5,1,45,22,486,718,1891,204
408,2000,12,0,0,0,1,5,1,75,2,2902,477,1133,73
409,1644,85,0,1,0,1,5,1,90,16,952,711,1764,1049
410,2902,85,0,1,0,1,1,1,52,22,2447,734,1283,1114
411,787,85,0,1,0,1,5,1,39,19,2158,19,2024,804
412,4002,85,0,1,0,1,2,2,61,15,1520,543,1512,543
413,10716,85,0,1,1,1,3,5,119,20,2493,680,237,323
414,1527,85,0,1,0,1,5,9,14,25,1591,945,1341,654
415,1669,27,0,1,1,3,6,4,51,7,734,520,1504,555
416,3480,85,0,1,0,1,2,1,57,13,2246,543,1333,563
417,2210,85,0,1,0,3,2,4,39,7,129,806,2105,581
418,10087,36,0,0,0,1,2,1,119,7,1469,594,1900,668
419,7477,29,0,1,1,1,5,4,61,9,668,318,1912,600
420,9080,85,0,1,1,1,5,1,61,12,256,379,1819,909
421,9946,58,0,1,1,1,3,5,49,4,627,692,1516,1086
422,4294,27,0,1,0,1,6,9,124,23,529,591,1353,676
423,5292,29,0,1,1,1,2,1,44,31,887,827,1233,593
424,986,27,0,1,1,4,0,8,27,31,24,923,1343,407
425,9827,12,1,1,1,0,5,6,58,18,2128,617,2206,1044
426,2199,85,0,1,0,1,2,4,31,1,240,806,1854,672
427,310,85,0,1,1,1,0,1,103,27,3039,281,1588,856
